X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,Y
v,a,n,a,f,_,b,e,g,o,n,n,e,n,_,d,e,_,b,e,w,e,r,k,e,r,s,_,(,u,s,e,r,s,_,i,n,_,h,e,t,_,n,e,d,e,r,l,a,n,Dutch
e,r,_,w,o,r,d,t,_,s,a,m,e,n,g,e,w,e,r,k,t,_,m,e,t,_,o,n,d,e,r,_,a,n,d,e,r,e,_,m,u,s,e,a,_,g,a,l,e,r,Dutch
i,n,_,n,e,d,e,r,l,a,n,d,_,l,e,v,e,r,d,e,_,b,i,j,v,o,o,r,b,e,e,l,d,_,h,e,t,_,t,r,o,p,e,n,m,u,s,e,u,m,Dutch
_,d,e,_,r,i,j,k,s,d,i,e,n,s,t,_,v,o,o,r,_,h,e,t,_,c,u,l,t,u,r,e,e,l,_,e,r,f,g,o,e,d,_,(,r,c,e,),_,h,Dutch
s,i,n,d,s,_,w,o,r,d,t,_,d,e,_,s,a,m,e,n,w,e,r,k,i,n,g,_,t,u,s,s,e,n,_,w,i,k,i,p,e,d,i,a,_,e,n,_,c,u,Dutch
_,o,p,_,j,a,n,u,a,r,i,_,d,e,_,e,_,v,e,r,j,a,a,r,d,a,g,_,v,a,n,_,w,i,k,i,p,e,d,i,a,_,w,e,r,d,_,b,e,k,Dutch
_,i,n,_,m,e,i,_,o,n,t,v,i,n,g,_,w,i,k,i,p,e,d,i,a,_,d,e,_,g,o,l,d,e,n,_,n,i,c,a,_,v,o,o,r,_,d,i,g,i,Dutch
l,a,t,e,r,_,d,a,t,_,j,a,a,r,_,o,n,t,v,i,n,g,_,w,i,k,i,p,e,d,i,a,_,d,e,_,j,u,d,g,e,s,',_,w,e,b,b,y,_,Dutch
_,w,i,k,i,p,e,d,i,a,_,w,e,r,d,_,o,o,k,_,g,e,n,o,m,i,n,e,e,r,d,_,v,o,o,r,_,d,e,_,b,e,s,t,_,p,r,a,c,t,Dutch
i,n,_,s,t,e,m,d,e,n,_,d,e,_,l,e,z,e,r,s,_,v,a,n,_,d,e,_,w,e,b,s,i,t,e,_,b,r,a,n,d,c,h,a,n,n,e,l,c,o,Dutch
i,n,_,s,e,p,t,e,m,b,e,r,_,o,n,t,v,i,n,g,_,w,i,k,i,p,e,d,i,a,_,d,e,_,q,u,a,d,r,i,g,a,_,a,_,m,i,s,s,i,Dutch
d,e,z,e,_,p,r,i,j,s,_,w,e,r,d,_,a,a,n,g,e,b,o,d,e,n,_,a,a,n,_,j,i,m,b,o,_,w,a,l,e,s,_,d,o,o,r,_,d,a,Dutch
_,o,p,_,j,a,n,u,a,r,i,_,k,r,e,e,g,_,d,e,_,w,i,k,i,p,e,d,i,a,g,e,m,e,e,n,s,c,h,a,p,_,d,e,_,e,r,a,s,m,Dutch
_,v,o,l,g,e,n,s,_,d,e,_,o,r,g,a,n,i,s,a,t,i,e,_,v,a,n,_,d,e,_,p,r,i,j,s,_,d,r,o,e,g,_,w,i,k,i,p,e,d,Dutch
m,e,t,_,d,e,z,e,_,k,r,i,t,i,s,c,h,e,_,a,a,n,d,a,c,h,t,_,s,l,o,o,t,_,w,i,k,i,p,e,d,i,a,_,g,o,e,d,_,a,Dutch
o,p,_,n,o,v,e,m,b,e,r,_,r,e,i,k,t,e,_,k,o,n,i,n,g,_,w,i,l,l,e,m,-,a,l,e,x,a,n,d,e,r,_,d,e,z,e,_,p,r,Dutch
_,o,p,_,j,u,n,i,_,w,e,r,d,_,d,e,_,j,a,a,r,l,i,j,k,s,e,_,p,r,i,n,s,e,s,_,v,a,n,_,a,s,t,u,r,i,?,®,p,r,Dutch
_,w,i,k,i,p,e,d,i,a,_,h,e,e,f,t,_,n,e,t,_,a,l,s,_,a,n,d,e,r,e,_,w,i,k,i,',s,_,t,e,_,k,a,m,p,e,n,_,m,Dutch
h,i,e,r,v,o,o,r,_,z,i,j,n,_,h,u,l,p,m,i,d,d,e,l,e,n,_,b,e,s,c,h,i,k,b,a,a,r,_,o,m,_,v,a,n,d,a,l,i,s,Dutch
',o,n,z,i,c,h,t,b,a,a,r,_,v,a,n,d,a,l,i,s,m,e,',_,e,n,_,h,o,a,x,e,n,_,b,l,i,j,k,e,n,_,e,c,h,t,e,r,_,Dutch
d,o,o,r,_,s,u,b,t,i,e,l,e,_,w,i,j,z,i,g,i,n,g,e,n,_,(,b,e,p,e,r,k,t,e,_,w,e,g,l,a,t,i,n,g,e,n,_,o,f,Dutch
o,o,k,_,k,a,n,_,i,e,m,a,n,d,_,p,e,r,_,o,n,g,e,l,u,k,_,f,o,u,t,i,e,v,e,_,i,n,f,o,r,m,a,t,i,e,_,t,o,e,Dutch
w,a,n,n,e,e,r,_,n,i,e,m,a,n,d,_,d,o,o,r,h,e,e,f,t,_,d,a,t,_,d,e,_,i,n,f,o,r,m,a,t,i,e,_,o,n,j,u,i,s,Dutch
z,o,_,z,i,j,n,_,e,r,_,g,e,v,a,l,l,e,n,_,b,e,k,e,n,d,_,v,a,n,_,a,r,t,i,k,e,l,e,n,_,o,v,e,r,_,n,i,e,t,Dutch
a,r,t,i,k,e,l,e,n,_,o,p,_,w,i,k,i,p,e,d,i,a,_,s,c,o,r,e,n,_,o,v,e,r,_,h,e,t,_,a,l,g,e,m,e,e,n,_,h,o,Dutch
d,i,t,_,h,e,e,f,t,_,a,l,s,_,n,e,v,e,n,e,f,f,e,c,t,_,d,a,t,_,o,o,k,_,e,v,e,n,t,u,e,l,e,_,f,o,u,t,i,e,Dutch
w,i,k,i,p,e,d,i,a,_,w,o,r,d,t,_,b,e,w,e,r,k,t,_,d,o,o,r,_,v,r,i,j,w,i,l,l,i,g,e,r,s,_,e,n,_,h,e,e,f,Dutch
i,n,_,p,r,i,n,c,i,p,e,_,k,a,n,_,i,e,d,e,r,e,e,n,_,d,a,a,r,d,o,o,r,_,m,e,e,w,e,r,k,e,n,_,a,a,n,_,d,e,Dutch
i,n,_,d,e,_,p,r,a,k,t,i,j,k,_,b,l,i,j,k,t,_,e,r,_,e,c,h,t,e,r,_,g,e,e,n,_,s,p,r,a,k,e,_,v,a,n,_,e,e,Dutch
z,o,_,k,o,m,t,_,u,i,t,_,o,n,d,e,r,z,o,e,k,_,v,a,n,_,d,e,_,w,i,k,i,m,e,d,i,a,_,f,o,u,n,d,a,t,i,o,n,_,Dutch
o,n,g,e,v,e,e,r,_,d,e,_,h,e,l,f,t,_,v,a,l,t,_,i,n,_,d,e,_,l,e,e,f,t,i,j,d,_,t,u,s,s,e,n,_,e,n,_,j,a,Dutch
h,e,t,_,d,o,m,i,n,a,n,t,e,_,p,r,o,f,i,e,l,_,v,a,n,_,d,e,_,b,e,w,e,r,k,e,r,s,_,h,e,e,f,t,_,-,_,a,l,g,Dutch
i,n,_,v,e,r,g,e,l,i,j,k,i,n,g,_,m,e,t,_,t,r,a,d,i,t,i,o,n,e,l,e,_,e,n,c,y,c,l,o,p,e,d,i,e,?,®,n,_,i,Dutch
z,o,_,w,a,s,_,b,i,j,v,o,o,r,b,e,e,l,d,_,h,e,t,_,a,r,t,i,k,e,l,_,o,v,e,r,_,d,e,_,s,t,r,i,p,f,i,g,u,r,Dutch
t,h,e,_,g,u,a,r,d,i,a,n,_,g,a,f,_,i,n,_,a,a,n,_,d,a,t,_,e,e,n,_,a,r,t,i,k,e,l,_,o,p,_,d,e,_,e,n,g,e,Dutch
_,d,i,t,_,w,e,r,d,_,a,l,_,v,r,o,e,g,_,o,n,d,e,r,k,e,n,d,_,z,o,a,l,s,_,b,l,e,e,k,_,u,i,t,_,p,r,o,j,e,Dutch
n,a,a,s,t,_,d,e,_,k,e,n,m,e,r,k,e,n,_,i,n,_,h,e,t,_,o,n,d,e,r,z,o,e,k,_,v,a,n,_,d,e,_,w,i,k,i,m,e,d,Dutch
z,o,_,v,e,r,s,c,h,i,l,t,_,d,e,_,d,e,m,o,g,r,a,f,i,e,_,p,e,r,_,w,i,k,i,p,e,d,i,a,_,s,t,e,r,k,_,w,a,t,Dutch
a,r,t,i,k,e,l,e,n,_,o,v,e,r,_,b,e,p,a,a,l,d,e,_,l,a,n,d,e,n,_,v,o,l,k,e,n,_,g,e,b,r,u,i,k,e,n,_,e,n,Dutch
a,n,d,e,r,e,_,i,n,i,t,i,a,t,i,e,v,e,n,_,z,i,j,n,_,o,n,d,e,r,_,m,e,e,r,_,h,e,t,_,w,e,g,w,e,r,k,e,n,_,Dutch
n,o,o,t,_,d,e,_,b,e,w,e,r,k,e,r,s,_,v,a,n,_,w,i,k,i,p,e,d,i,a,_,z,i,j,n,_,m,e,r,e,n,d,e,e,l,s,_,m,a,Dutch
d,a,a,r,o,m,_,s,c,h,r,e,e,f,_,d,e,_,n,e,w,_,s,t,a,t,e,s,m,a,n,_,d,a,t,_,d,e,_,e,n,g,e,l,s,t,a,l,i,g,Dutch
_,i,n,_,h,e,t,_,t,i,j,d,s,c,h,r,i,f,t,_,s,l,a,t,e,_,n,o,e,m,d,e,_,h,e,a,t,h,e,r,_,m,a,c,_,d,o,n,a,l,Dutch
_,i,n,_,b,l,e,e,k,_,u,i,t,_,o,n,d,e,r,z,o,e,k,_,d,a,t,_,d,e,_,e,n,g,e,l,s,t,a,l,i,g,e,_,w,i,k,i,p,e,Dutch
d,a,t,_,e,f,f,e,c,t,_,w,a,s,_,b,o,v,e,n,d,i,e,n,_,s,t,e,r,k,e,r,_,i,n,_,d,e,_,w,i,k,i,p,e,d,i,a,_,d,Dutch
_,u,i,t,_,o,n,d,e,r,z,o,e,k,_,u,i,t,_,b,l,e,e,k,_,d,a,t,_,d,e,_,b,i,o,g,r,a,f,i,e,?,®,n,_,v,a,n,_,v,Dutch
_,h,e,t,_,g,e,b,r,e,k,_,a,a,n,_,a,r,t,i,k,e,l,e,n,_,o,v,e,r,_,v,r,o,u,w,e,n,_,w,e,r,d,_,b,e,l,a,n,g,Dutch
o,p,_,d,e,_,p,r,e,s,e,n,t,a,t,i,e,_,v,a,n,_,a,r,t,i,k,e,l,e,n,_,i,n,_,d,e,_,u,s,e,r,i,n,t,e,r,f,a,c,Dutch
e,e,n,_,m,o,d,e,r,n,e,r,e,_,p,r,e,s,e,n,t,a,t,i,e,_,v,a,n,_,d,e,z,e,_,a,r,t,i,k,e,l,e,n,_,w,o,r,d,t,Dutch
w,i,k,i,w,a,n,d,_,i,s,_,z,e,l,f,_,g,e,e,n,_,o,n,d,e,r,d,e,e,l,_,v,a,n,_,m,e,d,i,a,w,i,k,i,_,_,_,_,_,Dutch
i,n,_,h,e,t,_,f,i,n,a,n,c,i,e,e,l,e,_,d,a,g,b,l,a,d,_,v,e,r,s,c,h,e,e,n,_,i,n,_,e,e,n,_,a,r,t,i,k,e,Dutch
n,o,o,t,_,w,i,k,i,p,e,d,i,a,_,w,e,r,d,_,a,l,_,e,e,r,d,e,r,_,g,e,z,i,e,n,_,a,l,s,_,e,e,n,_,o,n,e,e,r,Dutch
n,i,c,h,o,l,a,s,_,c,a,r,r,_,v,i,e,l,_,i,n,_,t,h,e,_,a,m,o,r,a,l,i,t,y,_,o,f,_,w,e,b,_,(,_,w,e,b,_,i,Dutch
c,a,r,r,_,s,c,h,r,e,e,f,_,d,e,_,g,e,e,s,t,d,r,i,f,t,i,g,e,_,v,i,s,i,o,e,n,e,n,_,v,a,n,_,w,e,b,_,g,a,Dutch
m,a,a,r,_,i,k,_,k,a,n,_,m,e,_,n,i,e,t,s,_,a,n,g,s,t,a,a,n,j,a,g,e,n,d,e,r,s,_,v,o,o,r,s,t,e,l,l,e,n,Dutch
_,a,n,d,e,r,e,n,_,b,e,s,t,r,i,j,d,e,n,_,d,a,t,_,w,i,k,i,p,e,d,i,a,_,o,f,_,i,e,t,s,_,d,e,r,g,e,l,i,j,Dutch
c,h,r,i,s,_,a,n,d,e,r,s,o,n,_,h,o,o,f,d,r,e,d,a,c,t,e,u,r,_,v,a,n,_,w,i,r,e,d,_,m,a,g,a,z,i,n,e,_,b,Dutch
_,w,i,k,i,p,e,d,i,a,_,z,o,u,_,c,e,n,s,u,u,r,_,w,i,l,l,e,n,_,v,e,r,m,i,j,d,e,n,_,_,_,_,_,_,_,_,_,_,_,Dutch
z,o,_,w,e,r,d,_,i,n,_,o,p,_,d,e,_,d,u,i,t,s,t,a,l,i,g,e,_,w,i,k,i,p,e,d,i,a,_,g,e,w,e,i,g,e,r,d,_,o,Dutch
_,o,o,k,_,w,e,r,d,_,i,n,_,e,e,n,_,p,l,a,t,e,n,h,o,e,s,_,n,i,e,t,_,v,e,r,w,i,j,d,e,r,d,_,n,a,d,a,t,_,Dutch
_,t,u,r,k,i,j,e,_,b,l,o,k,k,e,e,r,d,e,_,v,a,n,_,a,p,r,i,l,_,t,o,t,_,j,a,n,u,a,r,i,_,d,e,_,t,o,e,g,a,Dutch
_,n,i,e,t,t,e,m,i,n,_,w,e,r,d,_,i,n,_,w,e,l,_,i,n,f,o,r,m,a,t,i,e,_,v,e,r,w,i,j,d,e,r,d,_,o,v,e,r,_,Dutch
_,t,_,b,a,y,e,r,_,g,a,f,_,i,n,_,e,e,n,_,o,v,e,r,z,i,c,h,t,_,v,a,n,_,v,e,r,s,c,h,i,l,l,e,n,d,e,_,o,n,Dutch
_,e,e,n,_,v,e,r,g,e,l,i,j,k,i,n,g,_,i,n,_,s,e,p,t,e,m,b,e,r,_,v,a,n,_,d,e,_,d,u,i,t,s,t,a,l,i,g,e,_,Dutch
i,n,_,p,u,b,l,i,c,e,e,r,d,e,_,n,a,t,u,r,e,_,d,e,_,r,e,s,u,l,t,a,t,e,n,_,v,a,n,_,e,e,n,_,v,e,r,g,e,l,Dutch
_,u,n,i,v,e,r,s,i,t,a,i,r,e,_,d,e,s,k,u,n,d,i,g,e,n,_,b,o,g,e,n,_,z,i,c,h,_,o,v,e,r,_,n,a,t,u,u,r,w,Dutch
i,n,_,p,a,r,e,n,_,v,a,n,_,o,v,e,r,e,e,n,k,o,m,s,t,i,g,e,_,a,r,t,i,k,e,l,e,n,_,u,i,t,_,b,e,i,d,e,_,e,Dutch
g,e,m,i,d,d,e,l,d,_,b,e,v,a,t,t,e,_,e,e,n,_,w,p,-,a,r,t,i,k,e,l,_,v,i,e,r,_,e,n,_,e,e,n,_,e,b,-,a,r,Dutch
n,a,t,u,r,e,_,c,o,n,c,l,u,d,e,e,r,d,e,_,d,a,t,_,h,o,e,w,e,l,_,d,e,_,s,c,h,r,i,j,f,s,t,i,j,l,_,v,a,n,Dutch
o,r,l,o,w,s,k,i,_,f,o,r,m,u,l,e,e,r,d,e,_,h,e,t,_,a,l,s,_,v,o,l,g,t,_,d,e,_,k,w,a,l,i,t,e,i,t,_,v,a,Dutch
_,h,e,t,_,b,e,t,r,o,f,_,h,i,e,r,_,e,e,n,_,b,e,t,r,e,k,k,e,l,i,j,k,_,k,l,e,i,n,e,_,s,e,l,e,c,t,i,e,_,Dutch
_,i,n,_,m,a,a,r,t,_,p,u,b,l,i,c,e,e,r,d,e,_,d,e,_,e,n,c,y,c,l,o,p,?,?,d,i,a,_,b,r,i,t,a,n,n,i,c,a,_,Dutch
_,e,r,_,b,e,s,t,a,a,n,_,o,p,_,h,e,t,_,i,n,t,e,r,n,e,t,_,e,e,n,_,a,a,n,t,a,l,_,k,l,o,n,e,n,_,ƒ,?,?,_,Dutch
d,i,t,_,z,i,j,n,_,w,e,b,s,i,t,e,s,_,d,i,e,_,d,e,_,i,n,h,o,u,d,_,v,a,n,_,w,i,k,i,p,e,d,i,a,-,a,r,t,i,Dutch
e,n,k,e,l,e,_,v,o,o,r,b,e,e,l,d,e,n,_,z,i,j,n,_,d,b,p,e,d,i,a,_,e,v,e,r,y,b,o,d,y,w,i,k,i,_,b,i,o,s,Dutch
o,o,k,_,s,o,m,m,i,g,e,_,t,e,k,s,t,e,n,_,o,p,_,w,o,r,d,p,r,e,s,s,c,o,m,_,z,i,j,n,_,m,i,n,_,o,f,_,m,e,Dutch
d,a,a,r,n,a,a,s,t,_,w,o,r,d,t,_,v,e,e,l,_,v,a,n,_,d,e,_,v,r,i,j,_,b,e,s,c,h,i,k,b,a,r,e,_,i,n,h,o,u,Dutch
r,e,g,e,l,m,a,t,i,g,_,l,a,t,e,n,_,d,e,z,e,_,s,i,t,e,s,_,n,a,_,o,m,_,d,e,_,b,r,o,n,_,v,a,n,_,d,e,z,e,Dutch
e,e,n,_,b,e,l,a,n,g,r,i,j,k,_,n,e,v,e,n,e,f,f,e,c,t,_,v,a,n,_,d,e,r,g,e,l,i,j,k,e,_,k,l,o,o,n,w,e,b,Dutch
h,e,t,_,i,s,_,g,e,e,n,_,z,e,l,d,z,a,a,m,h,e,i,d,_,d,a,t,_,v,i,j,f,_,v,a,n,_,d,e,_,e,e,r,s,t,e,_,t,i,Dutch
f,o,u,t,i,e,v,e,_,i,n,f,o,r,m,a,t,i,e,_,k,a,n,_,o,p,_,d,e,z,e,_,m,a,n,i,e,r,_,s,n,e,l,_,o,v,e,r,_,h,Dutch
c,r,i,t,i,c,i,_,v,a,n,_,w,i,k,i,p,e,d,i,a,_,z,i,e,n,_,d,i,t,_,a,l,s,_,e,e,n,_,z,o,r,g,e,l,i,j,k,e,_,Dutch
a,u,t,o,m,a,t,i,s,c,h,_,l,e,r,e,n,_,o,f,_,m,a,c,h,i,n,a,a,l,_,l,e,r,e,n,_,i,s,_,e,e,n,_,b,r,e,e,d,_,Dutch
d,e,_,m,e,t,h,o,d,e,s,_,z,i,j,n,_,t,e,_,v,e,r,d,e,l,e,n,_,i,n,_,t,w,e,e,_,r,u,w,e,_,c,a,t,e,g,o,r,i,Dutch
a,a,n,l,e,i,d,i,n,g,g,e,v,e,n,d,e,_,m,e,t,h,o,d,e,s,_,c,r,e,?,®,r,e,n,_,c,o,m,p,u,t,e,r,p,r,o,g,r,a,Dutch
d,e,d,u,c,t,i,e,v,e,_,m,e,t,h,o,d,e,n,_,h,e,b,b,e,n,_,a,l,s,_,r,e,s,u,l,t,a,a,t,_,e,e,n,_,f,u,n,c,t,Dutch
a,u,t,o,m,a,t,i,s,c,h,_,l,e,r,e,n,_,i,s,_,s,t,e,r,k,_,g,e,r,e,l,a,t,e,e,r,d,_,a,a,n,_,s,t,a,t,i,s,t,Dutch
a,u,t,o,m,a,t,i,s,c,h,_,l,e,r,e,n,_,i,s,_,m,e,e,r,_,g,e,r,i,c,h,t,_,o,p,_,d,e,_,a,l,g,o,r,i,t,m,i,s,Dutch
h,e,t,_,i,s,_,o,o,k,_,g,e,r,e,l,a,t,e,e,r,d,_,a,a,n,_,d,a,t,a,m,i,n,i,n,g,_,w,a,a,r,i,n,_,o,p,_,e,e,Dutch
v,e,e,l,_,l,e,e,r,p,r,o,b,l,e,m,e,n,_,z,i,j,n,_,n,p,-,h,a,r,d,_,o,f,_,m,o,e,i,l,i,j,k,e,r,_,d,u,s,_,Dutch
w,e,_,z,i,j,n,_,a,l,l,e,m,a,a,l,_,o,p,_,z,o,e,k,_,n,a,a,r,_,s,n,e,l,l,e,_,m,a,n,i,e,r,e,n,_,o,m,_,v,Dutch
d,u,s,_,v,a,n,d,a,a,g,_,g,a,a,n,_,w,e,_,n,i,e,u,w,e,_,s,l,i,m,m,e,_,w,o,o,r,d,e,n,_,l,e,r,e,n,_,h,u,Dutch
e,n,_,i,n,_,d,e,z,e,_,v,i,d,e,o,_,g,a,_,i,k,_,j,e,_,s,l,i,m,m,e,_,w,o,o,r,d,e,n,_,g,e,v,e,n,_,v,o,o,Dutch
i,k,_,g,a,_,j,e,_,o,o,k,_,e,e,n,_,s,l,i,m,m,e,_,t,i,p,_,g,e,v,e,n,_,o,m,_,h,e,e,l,_,v,l,o,e,i,e,n,d,Dutch
?,?,?,?,n,_,i,s,_,o,v,e,r,s,p,o,e,l,d,_,o,v,e,r,s,p,o,e,l,d,_,b,e,t,e,k,e,n,t,_,v,e,r,d,r,i,n,k,e,n,Dutch
m,o,e,r,a,s,_,i,s,_,e,e,n,_,s,t,u,k,_,w,e,t,l,a,n,d,_,e,n,_,a,l,s,_,i,e,m,a,n,d,_,o,p,_,d,e,_,v,e,r,Dutch
l,a,t,e,n,_,w,e,_,z,e,g,g,e,n,_,d,a,t,_,j,e,_,v,e,e,l,_,o,p,d,r,a,c,h,t,e,n,_,h,e,b,t,_,e,n,_,e,r,_,Dutch
h,e,y,_,w,a,a,r,o,m,_,g,a,_,j,e,_,n,i,e,t,_,m,e,t,_,o,n,s,_,o,m,_,j,e,_,k,u,n,t,_,t,e,g,e,n,_,z,e,_,Dutch
e,r,_,l,i,g,t,_,t,e,v,e,e,l,_,o,p,_,m,i,j,n,_,b,o,r,d,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,Dutch
i,k,_,v,e,r,d,r,i,n,k,_,i,n,_,m,i,j,n,_,w,e,r,k,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,Dutch
i,k,_,w,o,r,d,_,o,v,e,r,s,p,o,e,l,d,_,m,e,t,_,o,p,d,r,a,c,h,t,e,n,_,s,l,i,m,_,w,o,o,r,d,_,n,u,m,m,e,Dutch
i,k,_,h,e,b,_,j,e,_,i,n,_,d,e,_,w,a,r,_,g,e,b,r,a,c,h,t,_,d,u,s,_,l,a,a,t,_,m,e,_,j,e,_,w,a,t,_,v,o,Dutch
e,e,n,_,c,a,t,c,h,-,-,s,i,t,u,a,t,i,e,_,i,s,_,w,a,n,n,e,e,r,_,j,e,_,g,e,e,n,_,b,a,a,n,_,k,r,i,j,g,t,Dutch
m,a,a,r,_,j,e,_,k,u,n,t,_,p,a,s,_,e,r,v,a,r,i,n,g,_,o,p,d,o,e,n,_,a,l,s,_,j,e,_,e,e,n,_,b,a,a,n,_,k,Dutch
c,a,t,c,h,-,_,w,e,r,d,_,b,e,d,a,c,h,t,_,d,o,o,r,_,j,o,s,e,p,h,_,h,e,l,l,e,r,_,i,n,_,z,i,j,n,_,b,e,r,Dutch
e,e,n,_,a,n,d,e,r,_,v,o,o,r,b,e,e,l,d,_,v,a,n,_,c,a,t,c,h,-,_,i,s,_,d,a,t,_,j,e,_,e,e,n,_,b,a,n,k,l,Dutch
g,e,l,d,_,m,a,a,r,_,j,e,_,z,o,u,_,d,i,e,_,b,a,n,k,l,e,n,i,n,g,_,n,i,e,t,_,k,r,i,j,g,e,n,_,t,e,n,z,i,Dutch
o,m,_,h,e,t,_,w,o,o,r,d,_,c,a,t,c,h,-,_,t,e,_,g,e,b,r,u,i,k,e,n,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,Dutch
e,n,_,k,r,i,j,g,_,d,e,z,e,_,b,e,w,o,n,d,e,r,e,n,d,e,_,b,l,i,k,k,e,n,_,v,a,n,_,j,e,_,v,r,i,e,n,d,e,n,Dutch
n,u,m,m,e,r,_,d,r,i,e,_,i,s,_,s,u,a,v,e,_,s,u,a,v,e,_,s,u,a,v,e,_,m,i,d,d,e,l,e,n,_,o,m,_,v,e,r,f,i,Dutch
w,e,l,g,e,m,a,n,i,e,r,d,_,h,e,e,f,t,_,h,e,t,_,w,o,o,r,d,_,s,u,a,v,e,_,v,e,r,s,c,h,i,l,l,e,n,d,e,_,o,Dutch
h,i,j,_,i,s,_,z,o,_,e,v,e,n,w,i,c,h,t,i,g,_,e,n,_,z,a,c,h,t,_,v,o,o,r,a,l,_,i,n,_,h,e,t,_,b,i,j,z,i,Dutch
o,b,a,m,a,_,i,s,_,z,o,_,z,a,c,h,t,_,e,n,_,g,e,p,o,l,i,j,s,t,_,n,u,_,o,n,t,h,o,u,d,_,w,a,n,n,e,e,r,_,Dutch
w,e,l,g,e,m,a,n,i,e,r,d,_,e,n,_,g,e,c,u,l,t,i,v,e,e,r,d,_,e,n,_,v,e,r,f,i,j,n,d,_,_,_,_,_,_,_,_,_,_,Dutch
v,e,r,g,e,e,t,_,n,i,e,t,_,t,e,_,z,e,g,g,e,n,_,w,i,e,_,i,s,_,d,i,e,_,v,r,i,e,n,d,e,l,i,j,k,e,_,k,e,r,Dutch
h,e,e,l,_,z,a,c,h,t,_,z,o,_,s,l,i,m,_,w,o,o,r,d,_,n,u,m,m,e,r,_,v,i,e,r,_,i,s,_,a,f,s,c,h,u,w,e,l,i,Dutch
w,a,t,_,b,e,t,e,k,e,n,t,_,a,n,g,s,t,_,w,r,e,e,d,_,o,f,_,v,e,r,s,c,h,r,i,k,k,e,l,i,j,k,_,e,n,k,e,l,e,Dutch
o,p,_,e,e,n,_,g,r,u,w,e,l,i,j,k,e,_,m,a,n,i,e,r,_,w,o,r,d,t,_,s,o,m,s,_,i,n,_,g,e,v,a,n,g,e,n,i,s,s,Dutch
z,i,j,n,_,t,a,f,e,l,m,a,n,i,e,r,e,n,_,w,a,r,e,n,_,b,i,j,v,o,o,r,b,e,e,l,d,_,a,f,s,c,h,u,w,e,l,i,j,k,Dutch
d,u,s,_,v,e,r,g,e,e,t,_,n,i,e,t,_,o,m,_,d,e,_,v,o,l,g,e,n,d,e,_,k,e,e,r,_,d,a,t,_,j,e,_,o,p,_,h,e,t,Dutch
o,p,m,e,r,k,e,n,_,e,n,_,z,e,g,g,e,n,_,d,a,t,_,d,i,t,_,e,e,n,_,g,r,u,w,e,l,i,j,k,e,_,d,a,a,d,_,i,s,_,Dutch
n,u,_,g,e,b,r,u,i,k,e,n,_,w,e,_,h,i,e,r,_,v,a,a,k,_,h,e,t,_,w,o,o,r,d,_,g,e,w,e,l,d,i,g,_,',_,s,_,e,Dutch
i,k,_,h,e,b,_,e,e,n,_,b,i,j,n,a,_,p,e,r,f,e,c,t,e,_,s,c,o,r,e,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,Dutch
h,e,t,_,w,o,o,r,d,_,v,e,r,b,a,z,i,n,g,w,e,k,k,e,n,d,_,h,e,e,f,t,_,k,l,a,s,s,i,e,k,e,_,l,a,t,i,j,n,s,Dutch
v,e,r,b,l,u,f,t,_,z,i,j,n,_,z,o,_,o,n,t,z,a,g,w,e,k,k,e,n,d,_,w,o,r,d,t,_,g,e,b,r,u,i,k,t,_,o,m,_,i,Dutch
j,e,_,v,r,i,e,n,d,e,n,_,d,a,t,_,i,s,_,d,i,t,_,g,e,w,e,l,d,i,g,e,_,k,a,n,a,a,l,_,v,o,o,r,_,s,t,u,d,e,Dutch
o,m,_,m,e,_,t,e,_,v,e,r,t,e,l,l,e,n,_,w,e,l,k,_,v,a,n,_,d,e,z,e,_,t,i,e,n,_,w,o,o,r,d,e,n,_,j,e,_,f,Dutch
i,k,_,b,e,n,_,m,i,j,n,_,t,e,l,e,f,o,o,n,_,k,w,i,j,t,_,e,n,_,i,k,_,z,i,t,_,i,n,_,d,e,_,p,r,o,b,l,e,m,Dutch
d,u,s,_,d,e,_,v,o,l,g,e,n,d,e,_,k,e,e,r,_,d,a,t,_,j,e,_,w,i,s,k,u,n,d,e,h,u,i,s,w,e,r,k,_,v,a,n,_,s,Dutch
m,a,a,r,_,n,e,e,_,i,n,_,e,e,n,_,f,i,x,_,b,e,t,e,k,e,n,t,_,d,a,t,_,j,e,_,i,n,_,e,e,n,_,l,a,s,t,i,g,e,Dutch
z,o,_,v,a,a,k,_,d,a,t,_,z,e,_,v,e,r,g,e,t,e,n,_,w,a,t,_,z,e,_,n,u,_,m,o,e,t,e,n,_,d,o,e,n,_,v,e,r,w,Dutch
